age_group,year,state,voted,yearSDR
18-24,1990,Michigan,0.18298555377207062,NA
18-24,1990,Minnesota,0.2620689655172414,1978
18-24,1990,Mississippi,0.14953271028037382,NA
18-24,1990,Missouri,0.1643835616438356,NA
18-24,1990,Montana,0.2980132450331126,2006
18-24,1990,Nebraska,0.27218934911242604,NA
18-24,1990,Nevada,0.171875,NA
18-24,1990,New Hampshire,0.16216216216216217,1996
18-24,1990,New Jersey,0.2084942084942085,NA
18-24,1990,New Mexico,0.16560509554140126,NA
18-24,1990,New York,0.23160173160173161,NA
18-24,1990,North Carolina,0.26666666666666666,2008
18-24,1990,Ohio,0.20637329286798178,2006
18-24,1990,Oklahoma,0.16891891891891891,NA
18-24,1990,Oregon,0.1984126984126984,NA
18-24,1990,Pennsylvania,0.13805309734513274,NA
18-24,1990,Rhode Island,0.3333333333333333,NA
18-24,1990,South Carolina,0.20408163265306123,NA
18-24,1990,South Dakota,0.2398190045248869,NA
18-24,1990,Tennessee,0.13259668508287292,NA
18-24,1990,Texas,0.18795888399412627,NA
18-24,1990,Utah,0.17801047120418848,2018
18-24,1990,Vermont,0.16842105263157894,2018
18-24,1990,Virginia,0.17613636363636365,NA
18-24,1990,Washington,0.171875,NA
18-24,1990,West Virginia,0.09659090909090909,NA
18-24,1990,Wisconsin,0.2548076923076923,1978
18-24,1990,Wyoming,0.21138211382113822,1994
18-24,1992,Alabama,0.4336734693877551,NA
18-24,1992,Alaska,0.4840764331210191,NA
18-24,1992,Arizona,0.42105263157894735,NA
18-24,1992,Arkansas,0.3905325443786982,NA
18-24,1992,California,0.4522058823529412,2018
18-24,1992,Colorado,0.4930555555555556,2014
18-24,1992,Connecticut,0.6046511627906976,2014
18-24,1992,Delaware,0.5252525252525253,NA
18-24,1992,Florida,0.4046610169491525,NA
18-24,1992,Georgia,0.39869281045751637,NA
18-24,1992,Hawaii,0.34579439252336447,2018
18-24,1992,Idaho,0.39751552795031053,1994
18-24,1992,Illinois,0.511070110701107,2006
18-24,1992,Indiana,0.4589041095890411,NA
18-24,1992,Iowa,0.5833333333333334,2008
18-24,1992,Kansas,0.4772727272727273,NA
18-24,1992,Kentucky,0.3881578947368421,NA
18-24,1992,Louisiana,0.5333333333333333,NA
18-24,1992,Maine,0.6388888888888888,1978
